YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,3,6,0,0,0,0,0,0,0,0,0.52,-8.17,-3.82,2.81,52.06,0,72.76,1.32,21.86,2.512823199,22.62
2023,3,3,7,0.57,0.57,0.87,61.33,62.27,8.15,0.03,0.17,2.98,-6.1,-1.56,3.42,53,0,72.81,1.18,25.04,2.246311648,23.26
2023,3,3,8,1.46,1.49,1.88,165.88,170.55,24.26,0.32,1.6,7.34,-6.61,0.37,3.3,37.25,0,72.87,0.96,356.25,1.827507781,356.66
2023,3,3,9,2.28,2.35,2.78,265.62,272.7,42.2,0.94,4.62,10.19,-6.43,1.88,3.42,32.06,0,72.9,1.82,245.41,3.464650168,245.2
2023,3,3,10,2.8,3,3.47,331.9,348.27,53.53,1.53,7.73,11.88,-5.89,2.99,3.54,29.94,0,72.9,3.18,230.48,6.053619525,230.47
2023,3,3,11,3.26,3.44,3.91,393.02,402.05,66.7,2.19,11.25,12.85,-4.71,4.07,3.91,30.56,0,72.88,4.04,225.08,7.690761912,225.06
2023,3,3,12,3.06,3.39,4.06,369.85,397.33,61.81,2.02,10.48,13.17,-3.56,4.8,4.21,32.5,0,72.84,4.48,223.02,8.528369645,222.99
2023,3,3,13,2.38,3.16,3.91,289.52,366.9,45.72,1.42,7.4,13.03,-2.45,5.3,4.52,35.25,0,72.8,4.45,221.58,8.471260027,221.55
2023,3,3,14,1.89,2.72,3.48,230.15,314.67,35.38,0.98,5.05,12.55,-1.67,5.44,4.76,38.25,0,72.75,4.07,220.79,7.747871531,220.77
2023,3,3,15,1.47,2.06,2.79,170.48,235.92,24.77,0.53,2.62,11.66,-1.28,5.19,4.88,41.5,0,72.73,3.46,219.23,6.586642628,219.21
2023,3,3,16,0.78,1.23,1.89,87.45,137.85,11.88,0.16,0.77,10.34,-1.13,4.61,4.94,45.69,0,72.73,2.73,218.15,5.196975253,218.25
2023,3,3,17,0.35,0.44,0.88,40.45,48.98,6.3,0.03,0.15,7.99,-0.25,3.87,5.31,57.69,0,72.74,1.51,216.16,2.874517447,215.61
2023,3,3,18,0,0,0,0,0,0,0,0,6.04,-0.42,2.81,5.19,64.62,0,72.76,0.5,204.96,0.951826969,205.2
2023,3,3,19,0,0,0,0,0,0,0,0,4.89,-0.58,2.15,5.13,69.19,0,72.79,0.42,41.19,0.799534654,42.23
2023,3,3,20,0,0,0,0,0,0,0,0,3.78,-0.99,1.4,5,72.75,0,72.82,0.89,34.95,1.694252005,35.4
2023,3,3,21,0,0,0,0,0,0,0,0,3.04,-1.68,0.68,4.76,73,0,72.84,1.1,32.56,2.094019333,32.92
2023,3,3,22,0,0,0,0,0,0,0,0,3.05,-2.49,0.28,4.46,68.62,0,72.84,1.13,33.47,2.151128951,33.49
2023,3,3,23,0,0,0,0,0,0,0,0,3.48,-3.25,0.12,4.21,62.75,0,72.85,1.01,34.92,1.922690478,34.88
2023,3,4,0,0,0,0,0,0,0,0,0,3.63,-3.77,-0.07,4.03,59.56,0,72.85,0.74,36.38,1.408703915,36.47
2023,3,4,1,0,0,0,0,0,0,0,0,3.87,-3.68,0.09,4.09,59.19,0,72.85,0.49,27.8,0.93279043,28.81
2023,3,4,2,0,0,0,0,0,0,0,0,3.39,-3.61,-0.11,4.09,61.56,0,72.84,0.48,13.13,0.913753891,14.34
2023,3,4,3,0,0,0,0,0,0,0,0,2.45,-3.74,-0.64,4.03,65,0,72.82,0.68,10.66,1.294484678,12.3
2023,3,4,4,0,0,0,0,0,0,0,0,1.87,-4.2,-1.17,3.91,65.25,0,72.81,1.01,17.59,1.922690478,18.17
2023,3,4,5,0,0,0,0,0,0,0,0,1.39,-4.88,-1.75,3.72,63.88,0,72.82,1.16,21.73,2.208238569,22.03
2023,3,4,6,0,0,0,0,0,0,0,0,1.03,-5.65,-2.31,3.48,61.56,0,72.86,1.23,23.63,2.341494345,23.69
2023,3,4,7,0.59,0.59,0.89,64.48,66.58,8.47,0.04,0.2,3.42,-4.63,-0.61,3.78,57.12,0,72.92,1.2,26.73,2.284384726,26.26
2023,3,4,8,1.47,1.51,1.9,170.08,175.62,25.11,0.38,1.88,7.49,-5.16,1.17,3.66,41.25,0,72.98,0.99,3.63,1.884617399,4.06
2023,3,4,9,2.3,2.36,2.8,272.08,277.98,43.77,1.07,5.3,10.5,-5.24,2.63,3.72,34.44,0,73.01,2.1,246.58,3.997673271,246.69
2023,3,4,10,2.84,3,3.49,340.48,352.9,55.15,1.7,8.75,12.28,-4.55,3.87,3.91,32.12,0,73,3.45,230.98,6.567606089,231.08
2023,3,4,11,3.11,3.39,3.93,377.52,398.83,61.02,2.12,11.4,13.26,-3.38,4.94,4.27,32.69,0,72.98,4.39,224.64,8.357040791,224.6
2023,3,4,12,2.51,3.36,4.07,315.42,393.2,50.59,1.8,9.65,13.41,-2.13,5.65,4.64,35.06,0,72.93,4.81,222.04,9.156575445,222.03
2023,3,4,13,1.78,3.23,3.93,229.25,375.1,38.38,1.31,7.02,13.12,-1.01,6.06,5,38.44,0,72.87,4.66,221.33,8.871027354,221.39
